title,price,mrp,code,ASIN,url,,
30 Ltrs Green Casual Backpack (0IP6ECOBPBL1I),499,1499,B07CQLTD38,B07QKHNXW3,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPBL1I/dp/B07CQLTD38/ref=sr_1_50?keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-50,,
Men's Baseball Cap,319,1599,B07L4ZLCPW,B07QKYBCMN,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE067I-100-ST_Black_One/dp/B07L4ZLCPW/ref=sr_1_51?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-51,,
Men's Printed Regular fit T-Shirt,734,999,B07LFRBP3J,B07QH9H1T1,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0003I_902_EL_Blue/dp/B07LFRBP3J/ref=sr_1_52?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-52,,
Men's Printed Regular fit T-Shirt,734,999,B07LFRBP3J,B07QLWGY4P,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0003I_902_EL_Blue/dp/B07LFRBP3J/ref=sr_1_53?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-53,,
Women's Flip-Flops,466,699,B07V56HN8C,B07QKHLJ5J,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-5-19A8CFFPL411I/dp/B07V56HN8C/ref=sr_1_54?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-54,,
Men's Leather Belt,899,2999,B07L34XSP9,B07QLW1YTF,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFR35A10I-01D_Navy/dp/B07L34XSP9/ref=sr_1_55?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-55,,
Men's Slim Fit Shorts,891,1999,B07LFV68QP,B07QLTX33G,https://www.amazon.in/United-Colors-Benetton-Shorts-19P4STWE4101I_TC2_32_Yellow/dp/B07LFV68QP/ref=sr_1_56?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-56,,
Boys' Regular Fit Plain T-Shirt,209,499,B07FBN1KCN,B07QG5D19G,https://www.amazon.in/United-Colors-Benetton-Regular-18A3094C0SKBI_Chinese/dp/B07FBN1KCN/ref=sr_1_57?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-57,,
Men's Skinny Fit Jeans,923,2399,B07L5SR6Q5,B07QMW3SDY,https://www.amazon.in/United-Colors-Benetton-Skinny-19P4L23E1233I_901_Blue_28W/dp/B07L5SR6Q5/ref=sr_1_58?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-58,,
26 Ltrs Black Laptop Backpack (0IP6LPOSTP09I),1679,4499,B07GJK7VCP,B07QH9DR94,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6LPOSTP09I/dp/B07GJK7VCP/ref=sr_1_59?keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-59,,
Men's Baseball Cap,319,1599,B07KKNDDH8,B07QLXSXV1,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6AMCAPT03I-100-ST_Black_St/dp/B07KKNDDH8/ref=sr_1_60?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-60,,
Men's Flip-Flops,187,499,B07L635XD6,B07QH9H4ZN,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19P8CFFPM215I/dp/B07L635XD6/ref=sr_1_61?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-61,,
Men's Baseball Cap,319,1599,B07L4Z3W6S,B07QLVXHB8,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE085I-07T-ST_Grey_One/dp/B07L4Z3W6S/ref=sr_1_62?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-62,,
Men's Sweatshirt,1146,3099,B07DMR5VL2,B07QLW1YWP,https://www.amazon.in/United-Colors-Benetton-Sweatshirt-18A3S44J8105I_A54_XL_Indigo/dp/B07DMR5VL2/ref=sr_1_63?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-63,,
Men's Baseball Cap,319,1599,B07L4Y58KL,B07QLXQL82,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE081I-07T-ST_Grey_One/dp/B07L4Y58KL/ref=sr_1_64?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-64,,
